subjid,country,normal_vision,hispanic,race,color_blind,gender,education_level,fluent_english,household_income,dob
ZCyWpcTWCd7jgppurple,United States,Yes,No,Mixed Race,No,Male,Technical/Community College,Yes,"$200,000–$299,999",1995-06-09
WS4jHMiQ5Wvznvred,United States,Yes,No,Black/African American,No,Female,Technical/Community College,Yes,"$20,000–$39,999",1987-03-24
ge72bi8WT37W4Ppurple,United States,Yes,No,Caucasian/White,No,Male,Technical/Community College,Yes,"Less than $20,000",1990-02-01
tk9UcqRWbZZjmbred,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$80,000–$99,999",1963-07-30
onQVTbxWfNm9z8purple,United States,Yes,No,Black/African American,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"Less than $20,000",1978-10-14
f6Lw9cmXJxY5o9purple,United States,Yes,No,Caucasian/White,No,Female,Technical/Community College,Yes,"$60,000–$79,999",1971-12-06
lkNrIbKXLPIT0ipurple,United States,Yes,Yes,Caucasian/White,No,Female,Technical/Community College,Yes,"$40,000–$59,999",2002-03-10
XPEC7FMBuuCPirred,United States,Yes,No,Caucasian/White,No,Male,Graduate Degree (MA/MS/MPhil/Other),Yes,"$100,000–$199,999",1965-02-17
aV3wUjPXaxYIFkpurple,United States,Yes,No,Black/African American,No,Male,Technical/Community College,Yes,"$20,000–$39,999",1991-04-17
XckY2QM5ENLITApurple,United States,Yes,No,Caucasian/White,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$100,000–$199,999",1984-04-01
YBWIqz1EycDN60red,United States,Yes,No,Caucasian/White,No,Female,High School Diploma (A-levels),Yes,"$20,000–$39,999",1983-04-08
YTLpZxpJ8wFKYnred,United States,Yes,No,Asian,No,Female,Graduate Degree (MA/MS/MPhil/Other),Yes,"$20,000–$39,999",1982-11-01
nEXaxjOYd2uIz2red,United States,Yes,No,Mixed Race,No,Male,No Formal Qualifications,Yes,"$20,000–$39,999",1997-05-22
Zisun9RYqiYFiKred,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$60,000–$79,999",1967-05-09
Z7SpYO22HIBbPMred,United States,Yes,No,Asian,No,Male,Graduate Degree (MA/MS/MPhil/Other),Yes,"$60,000–$79,999",1986-03-10
ZCt3dSGHyf9oWxpurple,United States,Yes,No,Caucasian/White,No,Male,Graduate Degree (MA/MS/MPhil/Other),Yes,"$80,000–$99,999",1987-06-25
ZCyWpcTWCd7jgpred,United States,Yes,No,Caucasian/White,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$20,000–$39,999",1962-12-17
ZXML2nj8JylBELpurple,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$80,000–$99,999",1991-01-29
Zisun9RYqiYFiKpurple,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$60,000–$79,999",1994-03-22
a4t2VPZA11vQidred,United States,Yes,No,Caucasian/White,No,Male,Technical/Community College,Yes,"$100,000–$199,999",1975-11-09
aV3wUjPXaxYIFkred,United States,Yes,No,Caucasian/White,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$100,000–$199,999",1984-11-01
b1R4Q8GF2ktTCZpurple,United States,Yes,Yes,Caucasian/White,No,Male,Technical/Community College,Yes,"$20,000–$39,999",1978-07-03
vqrBAUHbGaXO53red,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$20,000–$39,999",1983-03-29
vA7UGvybSQysyDpurple,United States,Yes,Yes,Mixed Race,No,Male,High School Diploma (A-levels),Yes,"Less than $20,000",1991-05-18
bSxiPUDOjnyQuFred,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"$40,000–$59,999",1991-04-01
cSRsRtAbohj0hLred,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"Less than $20,000",1974-01-02
cSRsRtAbohj0hLpurple,United States,Yes,No,Caucasian/White,No,Male,Graduate Degree (MA/MS/MPhil/Other),Yes,"$200,000–$299,999",1971-05-11
cea8hSnEkGlya1red,United States,Yes,No,Caucasian/White,No,Female,Technical/Community College,Yes,"Less than $20,000",1987-04-29
q0pOdv5cgccRxJred,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"$40,000–$59,999",1999-12-23
clx9egCH9BD66tred,United States,Yes,No,Caucasian/White,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$40,000–$59,999",1987-06-13
d2YvnIb1SzT5XLpurple,United States,Yes,No,Caucasian/White,No,Male,Graduate Degree (MA/MS/MPhil/Other),Yes,"$20,000–$39,999",1981-10-31
saQjVVcdrtHlWcpurple,United States,Yes,Yes,Caucasian/White,No,Male,No Formal Qualifications,Yes,"$20,000–$39,999",1999-06-19
eoMZxUK4khXpzfred,United States,Yes,No,Caucasian/White,No,Male,Graduate Degree (MA/MS/MPhil/Other),Yes,"$20,000–$39,999",1994-12-14
xGio19veqpXLXCred,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"$100,000–$199,999",1998-09-08
eySzqtn656jetdred,United States,Yes,No,Mixed Race,No,Male,Technical/Community College,Yes,"$40,000–$59,999",1978-10-22
uccX8B5f0br2b8red,United States,No,No,Asian,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$60,000–$79,999",1992-08-15
f6Lw9cmXJxY5o9red,United States,Yes,No,Caucasian/White,No,Female,Doctorate Degree (PhD/Other),Yes,"$100,000–$199,999",1978-07-01
fTeRNTUSx26CsCred,United States,Yes,No,Caucasian/White,No,Female,Technical/Community College,Yes,"$40,000–$59,999",1967-01-08
qVyVTWrfztcGarpurple,United States,Yes,No,Caucasian/White,No,Female,Technical/Community College,Yes,"$20,000–$39,999",1972-10-24
g6Upbjw9ndtUvWred,United States,Yes,No,Caucasian/White,No,Male,Graduate Degree (MA/MS/MPhil/Other),No,"$60,000–$79,999",1988-05-15
ge72bi8WT37W4Pred,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"$20,000–$39,999",1989-08-04
gsABAaOP8uOiCMpurple,United States,Yes,No,Caucasian/White,No,Female,Technical/Community College,Yes,"$40,000–$59,999",1952-07-08
zRNUjyaiWBgEP0purple,United States,Yes,Yes,Mixed Race,No,Female,High School Diploma (A-levels),Yes,"Less than $20,000",2004-05-25
jbpUv1U7IFVn3Vred,United States,Yes,No,Caucasian/White,No,Male,Technical/Community College,Yes,"$40,000–$59,999",1988-06-23
o3TlRoAkJBHNVZpurple,United States,Yes,No,Caucasian/White,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$80,000–$99,999",1974-09-08
kyAtOR47CAXO01purple,United States,Yes,No,Caucasian/White,No,Male,Technical/Community College,Yes,"Less than $20,000",1996-01-09
l8bDK3aO8wGxbQpurple,United States,Yes,No,Caucasian/White,No,Male,Technical/Community College,Yes,"$100,000–$199,999",2001-12-28
lYmChdJMknpHlwpurple,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$400,000–$499,999",1993-04-07
lkNrIbKXLPIT0ired,United States,Yes,No,Asian,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$60,000–$79,999",1999-11-24
lsFCn1XMbjkQlMred,United States,Yes,No,Asian,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$80,000–$99,999",1989-09-07
m3SlY7K65mcVAIred,United States,Yes,No,Caucasian/White,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$40,000–$59,999",1988-02-09
mJ9fjlcP23idAZpurple,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"$40,000–$59,999",1976-12-11
tgXnJilmKnniRspurple,United States,Yes,No,Caucasian/White,No,Male,No Formal Qualifications,Yes,I prefer not to answer,2004-01-13
mY2ThHGLZfMrwCpurple,United States,Yes,No,Black/African American,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$40,000–$59,999",
mYSqMHv81XrAojpurple,United States,Yes,No,Caucasian/White,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$100,000–$199,999",1990-11-24
mq25Ud0HilaEHMpurple,United States,Yes,No,Asian,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$60,000–$79,999",2000-03-20
nBkV82AICknxGhpurple,United States,Yes,No,Caucasian/White,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$100,000–$199,999",1977-12-03
nCNU1gIAwXwaNjred,United States,Yes,No,Caucasian/White,No,Female,High School Diploma (A-levels),Yes,"$20,000–$39,999",1976-01-24
nEXaxjOYd2uIz2purple,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"$20,000–$39,999",1988-07-11
nSG6vfzQRyWkT5purple,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"$20,000–$39,999",1979-05-14
nmHvJd8QHSgYaNpurple,United States,Yes,No,Caucasian/White,No,Female,High School Diploma (A-levels),Yes,"$100,000–$199,999",1963-05-28
o3TlRoAkJBHNVZred,United States,Yes,No,Caucasian/White,No,Female,High School Diploma (A-levels),Yes,"$20,000–$39,999",1997-02-11
oGOi0GITrDQ7spred,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"$80,000–$99,999",1967-09-12
ofrwBLQNLeNuCOpurple,United States,Yes,No,Black/African American,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"Less than $20,000",1954-02-01
onQVTbxWfNm9z8red,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,I prefer not to answer,1968-08-10
orGrN0W4PmMnXYpurple,United States,Yes,No,Caucasian/White,No,Male,Technical/Community College,Yes,"$300,000–$399,999",1991-05-19
pAXCOtBVeqYqaCpurple,United States,Yes,No,Mixed Race,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"Less than $20,000",1976-11-01
pE0Aw88UbECQ9zpurple,United States,Yes,No,Caucasian/White,No,Male,Graduate Degree (MA/MS/MPhil/Other),Yes,"$80,000–$99,999",1970-12-23
pqzVgpvBxeWX95red,United States,Yes,No,Asian,Yes,Male,Undergraduate Degree (BA/BS/Other),Yes,"$60,000–$79,999",1993-08-07
q0pOdv5cgccRxJpurple,United States,Yes,No,Asian,No,Female,Undergraduate Degree (BA/BS/Other),Yes,I don’t know,2000-01-30
yOIPc2hq9cwTcppurple,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"$20,000–$39,999",2001-06-22
qVyVTWrfztcGarred,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$60,000–$79,999",1994-09-12
yOY40J4qWxVxA1red,United States,Yes,No,Black/African American,No,Male,Graduate Degree (MA/MS/MPhil/Other),Yes,"$20,000–$39,999",1986-10-02
rBgdvsFqpyEZPOred,United States,Yes,No,Caucasian/White,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$40,000–$59,999",1995-09-21
rBgdvsFqpyEZPOpurple,United States,Yes,No,Caucasian/White,No,Male,Technical/Community College,Yes,"$60,000–$79,999",1989-07-07
rkc6hRyVkFgFu2purple,United States,Yes,No,Caucasian/White,No,Male,Technical/Community College,Yes,"$20,000–$39,999",1987-03-24
ryO9MvOSq3ZQUtpurple,United States,Yes,No,Caucasian/White,No,Male,Graduate Degree (MA/MS/MPhil/Other),Yes,"$100,000–$199,999",1987-09-27
saQjVVcdrtHlWcred,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$80,000–$99,999",1977-01-21
smzTCpjQjzO75wred,United States,Yes,No,Caucasian/White,No,Female,High School Diploma (A-levels),Yes,"Less than $20,000",1989-08-16
tgXnJilmKnniRsred,United States,Yes,No,Caucasian/White,No,Male,Graduate Degree (MA/MS/MPhil/Other),Yes,"$20,000–$39,999",1953-09-01
tifOihlQXXepB0red,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"Less than $20,000",1972-08-30
tk9UcqRWbZZjmbpurple,United States,Yes,Yes,Caucasian/White,No,Female,Technical/Community College,Yes,"$40,000–$59,999",1975-09-18
uccX8B5f0br2b8purple,United States,Yes,No,Caucasian/White,No,Female,Technical/Community College,Yes,"Less than $20,000",1990-02-11
vA7UGvybSQysyDred,United States,Yes,No,Asian,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$100,000–$199,999",1988-01-04
vqrBAUHbGaXO53purple,United States,Yes,No,Caucasian/White,No,Female,Technical/Community College,Yes,"$80,000–$99,999",1986-07-21
vxEsTrKUTqQqospurple,United States,Yes,No,Caucasian/White,No,Male,Technical/Community College,Yes,"$100,000–$199,999",1977-04-02
wICtidB7fjEuEured,United States,Yes,Yes,Native American,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$60,000–$79,999",1984-01-03
woxKliqKtIfd83purple,United States,Yes,No,Caucasian/White,No,Male,High School Diploma (A-levels),Yes,"Less than $20,000",1982-10-19
xGio19veqpXLXCpurple,United States,Yes,No,Caucasian/White,No,Female,High School Diploma (A-levels),Yes,"$20,000–$39,999",1993-12-08
yOIPc2hq9cwTcpred,United States,Yes,No,Caucasian/White,No,Female,Undergraduate Degree (BA/BS/Other),Yes,"$80,000–$99,999",2003-05-10
yOY40J4qWxVxA1purple,United States,Yes,No,Black/African American,No,Female,Technical/Community College,Yes,"$60,000–$79,999",1994-10-01
yoZ6vpODYaJIyored,United States,Yes,No,Asian,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$20,000–$39,999",1986-09-02
zRNUjyaiWBgEP0red,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$40,000–$59,999",1994-02-16
A9f87dW16vP5cIpurple,United States,Yes,Yes,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$100,000–$199,999",1970-01-18
J6HDr7j8Eerd86purple,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$100,000–$199,999",1984-09-01
ehbYdmt9iiMOvVpurple,United States,Yes,No,Caucasian/White,No,Male,Undergraduate Degree (BA/BS/Other),Yes,"$60,000–$79,999",1960-07-02
A9f87dW16vP5cIred,United States,Yes,No,Caucasian/White,No,Female,High School Diploma (A-levels),Yes,"$40,000–$59,999",1990-02-06
J6HDr7j8Eerd86red,United States,Yes,Yes,Caucasian/White,No,Male,Secondary Education (ie. GED/GCSE),Yes,"$60,000–$79,999",1992-01-14
cAwC1TGSkrbnojred,United States,Yes,No,Caucasian/White,No,Male,Graduate Degree (MA/MS/MPhil/Other),Yes,"$400,000–$499,999",1981-12-30
